bot,bot_id,side,window,base_vol,comb_vol,base_dd,comb_dd,base_net,comb_net,comb_intvs,base_trades,comb_trades,dd_delta,vol_delta_pct,net_delta
TEST_3,4524162672,short,3,232466.0,173907.0,614.36,496.18,-93.78,-79.8,950,383,508,-118.18,74.80964958316486,13.980000000000004
TEST_3,4524162672,short,4,63344.0,56090.0,316.23,283.36,-138.41,-131.64,117,63,53,-32.870000000000005,88.54824450618844,6.77000000000001
TEST_3,4524162672,short,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_3,4524162672,short,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_3,4524162672,short,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_3,4524162672,short,8,48717.0,40692.0,252.28,243.12,29.17,24.4,99,26,12,-9.159999999999997,83.52731079499969,-4.770000000000003
TEST_3,4524162672,short,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_3,4524162672,short,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_3,4524162672,short,11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
ШОРТ-ОБЪЁМ,5188321731,short,1,811297.0,166288.0,1889.24,1280.76,-556.05,-26.39,629,365,85,-608.48,20.496562910993138,529.66
ШОРТ-ОБЪЁМ,5188321731,short,2,513745.0,511905.0,303.87,240.09,-230.74,-242.25,268,286,557,-63.78,99.64184566273151,-11.509999999999991
ШОРТ-ОБЪЁМ,5188321731,short,3,819477.0,590609.0,3908.44,1589.97,-1671.16,-660.05,3739,334,5851,-2318.4700000000003,72.07145533065602,1011.1100000000001
ШОРТ-ОБЪЁМ,5188321731,short,4,519437.0,295426.0,1175.8,254.95,-471.98,-161.84,606,207,232,-920.8499999999999,56.87426964193926,310.14
ШОРТ-ОБЪЁМ,5188321731,short,5,671821.0,134329.0,2811.88,461.45,-984.03,-38.6,892,266,68,-2350.4300000000003,19.99476050912371,945.43
ШОРТ-ОБЪЁМ,5188321731,short,6,215815.0,215815.0,355.47,355.47,-46.36,-46.36,1772,142,142,0.0,100.0,0.0
ШОРТ-ОБЪЁМ,5188321731,short,7,1159151.0,425408.0,1298.6,309.63,-964.82,-281.4,1137,601,231,-988.9699999999999,36.69996402539445,683.4200000000001
ШОРТ-ОБЪЁМ,5188321731,short,8,984176.0,872231.0,3458.01,1202.57,-2095.91,-749.49,1902,456,3782,-2255.4400000000005,88.62551007136935,1346.4199999999998
ШОРТ-ОБЪЁМ,5188321731,short,9,11812.0,11812.0,110.09,110.09,-0.26,-0.26,163,7,7,0.0,100.0,0.0
ШОРТ-ОБЪЁМ,5188321731,short,10,1125332.0,497185.0,3785.24,1443.4,-2105.01,-626.67,3003,391,2362,-2341.8399999999997,44.18118386396193,1478.3400000000001
ШОРТ-ОБЪЁМ,5188321731,short,11,1183680.0,740017.0,2509.68,1581.32,-831.38,-415.2,1800,530,1354,-928.3599999999999,62.51833265747499,416.18
GPT_SHORT_1.1%,6399265299,short,1,189005.0,34026.0,1707.55,1035.52,184.37,20.6,627,111,14,-672.03,18.00269834131372,-163.77
GPT_SHORT_1.1%,6399265299,short,2,171351.0,140238.0,566.67,347.71,112.25,134.95,1433,119,221,-218.95999999999998,81.8425337465203,22.69999999999999
GPT_SHORT_1.1%,6399265299,short,3,281274.0,221765.0,3026.97,1192.01,-627.02,65.54,2220,195,7533,-1834.9599999999998,78.84304983752499,692.56
GPT_SHORT_1.1%,6399265299,short,4,128508.0,78523.0,733.9,420.21,-268.96,26.86,183,48,56,-313.69,61.103588881626045,295.82
GPT_SHORT_1.1%,6399265299,short,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
GPT_SHORT_1.1%,6399265299,short,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
GPT_SHORT_1.1%,6399265299,short,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
GPT_SHORT_1.1%,6399265299,short,8,105833.0,77885.0,605.85,475.23,180.55,120.44,165,22,31,-130.62,73.59235777120557,-60.110000000000014
GPT_SHORT_1.1%,6399265299,short,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
GPT_SHORT_1.1%,6399265299,short,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
GPT_SHORT_1.1%,6399265299,short,11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
ЛОНГ-ОБЪЁМ,5773124036,long,1,82200.0,82200.0,0.0,0.0,-31.24,-31.24,0,73,73,0.0,100.0,0.0
ЛОНГ-ОБЪЁМ,5773124036,long,2,400800.0,400800.0,0.01,0.01,-152.3,-152.3,62,234,234,0.0,100.0,0.0
ЛОНГ-ОБЪЁМ,5773124036,long,3,78600.0,78600.0,0.03,0.03,-29.87,-29.87,24,23,23,0.0,100.0,0.0
ЛОНГ-ОБЪЁМ,5773124036,long,4,237000.0,237000.0,0.01,0.01,-90.06,-90.06,13,162,162,0.0,100.0,0.0
ЛОНГ-ОБЪЁМ,5773124036,long,5,36600.0,36600.0,0.0,0.0,-13.91,-13.91,0,17,17,0.0,100.0,0.0
ЛОНГ-ОБЪЁМ,5773124036,long,6,455200.0,455200.0,0.02,0.02,-172.98,-172.98,847,189,189,0.0,100.0,0.0
ЛОНГ-ОБЪЁМ,5773124036,long,7,512200.0,512200.0,0.01,0.01,-194.64,-194.64,73,232,232,0.0,100.0,0.0
ЛОНГ-ОБЪЁМ,5773124036,long,8,125400.0,125400.0,0.01,0.01,-47.65,-47.65,0,61,61,0.0,100.0,0.0
ЛОНГ-ОБЪЁМ,5773124036,long,9,847000.0,847000.0,0.03,0.03,-321.86,-321.86,1266,387,387,0.0,100.0,0.0
ЛОНГ-ОБЪЁМ,5773124036,long,10,824200.0,824200.0,0.03,0.03,-313.21,-313.21,1048,335,335,0.0,100.0,0.0
ЛОНГ-ОБЪЁМ,5773124036,long,11,693000.0,693000.0,0.05,0.05,-263.36,-263.36,267,228,228,0.0,100.0,0.0
ЛОНГ-ХЕДЖ,5154651487,long,1,41200.0,41200.0,0.0,0.0,-15.65,-15.65,17,25,25,0.0,100.0,0.0
ЛОНГ-ХЕДЖ,5154651487,long,2,370400.0,370400.0,0.02,0.02,-140.74,-140.74,368,170,170,0.0,100.0,0.0
ЛОНГ-ХЕДЖ,5154651487,long,3,492800.0,492800.0,0.03,0.03,-187.26,-187.26,847,264,264,0.0,100.0,0.0
ЛОНГ-ХЕДЖ,5154651487,long,4,500400.0,500400.0,0.01,0.01,-190.14,-190.14,425,255,255,0.0,100.0,0.0
ЛОНГ-ХЕДЖ,5154651487,long,5,9200.0,9200.0,0.0,0.0,-3.5,-3.5,0,0,0,0.0,100.0,0.0
ЛОНГ-ХЕДЖ,5154651487,long,6,294400.0,294400.0,0.05,0.05,-111.87,-111.87,850,94,94,0.0,100.0,0.0
ЛОНГ-ХЕДЖ,5154651487,long,7,546400.0,546400.0,0.01,0.01,-207.62,-207.62,516,229,229,0.0,100.0,0.0
ЛОНГ-ХЕДЖ,5154651487,long,8,680800.0,680800.0,0.06,0.06,-258.69,-258.69,802,299,299,0.0,100.0,0.0
ЛОНГ-ХЕДЖ,5154651487,long,9,522800.0,522800.0,0.05,0.05,-198.65,-198.65,1266,200,200,0.0,100.0,0.0
ЛОНГ-ХЕДЖ,5154651487,long,10,805200.0,805200.0,0.04,0.04,-305.97,-305.97,1497,309,309,0.0,100.0,0.0
ЛОНГ-ХЕДЖ,5154651487,long,11,1012400.0,1012400.0,0.05,0.05,-384.69,-384.69,1048,343,343,0.0,100.0,0.0
